Trial,Item,SentenceBefore,SentenceAfter,IA_ID,Condition,List,Positive,Negative,Unrelated,Target,Comprehension,,,,,,,,,,,,,,
107,107,After school I typically submerge toys that I no longer like.,After school I typically submerge toys that I no longer like.,5,Neu/Neu,2,.,.,.,submerge,Do I usually keep toys that I no longer enjoy after school?,,,,,,,,,,,,,,
108,108,The mother asked her daughter to cautiously gather the flowers and give them away.,The mother asked her daughter to cautiously dawdle the flowers and give them away.,8,P/Neu,2,gather,.,.,dawdle,Was the daughter able to carefully distribute the flowers without issue?,,,,,,,,,,,,,,
109,109,"When upset, they often grieve to get to a place of happiness.","When upset, they often peddle to get to a place of happiness.",5,N/Neu,2,.,grieve,.,peddle,"When people are upset, do they rarely find ways to achieve happiness?",,,,,,,,,,,,,,
110,110,We don't normally lessen during our guests visit.,We don't normally squint during our guests visit.,4,UnNeu/Neu,2,.,.,lessen,squint,Is it unusual for us to make accommodations during our guests' visits?,,,,,,,,,,,,,,
111,111,There will always be another rebel that is discussed on TV.,There will always be another rebel that is discussed on TV.,6,Neu/Neu,2,.,.,.,rebel,Is there always a topic that gets discussed on TV?,,,,,,,,,,,,,,
112,112,I think I should stay away from every milkshake if possible.,I think I should stay away from every hierarchy if possible.,9,P/Neu,2,milkshake,.,.,hierarchy,Should I avoid every potential hazard if possible?,,,,,,,,,,,,,,
113,113,The woman seemed to know a lot about influenza and shared with the group.,The woman seemed to know a lot about artillery and shared with the group.,9,N/Neu,2,.,influenza,.,artillery,Did the woman possess extensive knowledge about the subject she discussed with the group?,,,,,,,,,,,,,,
114,114,The pamphlet was written from the perspective of a general houseboy and was terrible.,The pamphlet was written from the perspective of a general taxpayer and was terrible.,11,UnNeu/Neu,2,.,.,houseboy,taxpayer,Was the pamphlet written from an expert's perspective and well-received?,,,,,,,,,,,,,,
115,115,We tried to remember what we learned about quote management at the seminar.,We tried to remember what we learned about quote management at the seminar.,9,Neu/Neu,2,.,.,.,quote,Did we successfully recall the management techniques from the seminar?,,,,,,,,,,,,,,
116,116,"In the attic, the children discovered a stash of hidden heiress photographs under newspapers.","In the attic, the children discovered a stash of hidden herring photographs under newspapers.",11,P/Neu,2,heiress,.,.,herring,"In the attic, did the children find a collection of openly displayed photographs?",,,,,,,,,,,,,,
117,117,The big book was all about embolism experts and their history.,The big book was all about clarinet experts and their history.,7,N/Neu,2,.,embolism,.,clarinet,Was the big book focused on novices rather than experts in their field?,,,,,,,,,,,,,,
118,118,People often belittle how often one needs a special raider to finish the job.,People often belittle how often one needs a special tassel to finish the job.,1,UnNeu/Neu,2,.,.,raider,tassel,Is it common to require a special tool to complete tasks effectively?,,,,,,,,,,,,,,
119,119,The family set out automatic lights before another darkroom was to cause commotion.,The family set out automatic lights before another darkroom was to cause commotion.,9,Neu/Neu,2,.,.,.,darkroom,Did the family prepare the automatic lights due to an expected calm evening?,,,,,,,,,,,,,,
120,120,"In the painting, the girl was standing next to the large bonfire looking small.","In the painting, the girl was standing next to the large rustler looking small.",12,P/Neu,2,bonfire,.,.,rustler,"In the painting, did the girl appear as large as the object next to her?",,,,,,,,,,,,,,
121,121,Their films always included an intense deathbed scene at the very end.,Their films always included an intense supplier scene at the very end.,7,N/Neu,2,.,deathbed,.,supplier,Did the films exclude any dramatic scenes at the end?,,,,,,,,,,,,,,
122,122,The very unusual brink is ridiculous and must get help soon.,The very unusual molar is ridiculous and must get help soon.,4,UnNeu/Neu,2,.,.,brink,molar,Is the unusual behavior considered normal and not in need of assistance?,,,,,,,,,,,,,,
123,123,I wonder how often a certain checkbook is talked about in the office.,I wonder how often a certain checkbook is talked about in the office.,7,Neu/Neu,2,.,.,.,checkbook,Is a certain subject frequently discussed in the office?,,,,,,,,,,,,,,
124,124,Ben always thought adventure was possible.,Ben always thought awareness was possible.,4,P/Neu,2,adventure,.,.,awareness,Was Ben convinced that success was unlikely?,,,,,,,,,,,,,,
125,125,The film was about offender history in their country.,The film was about blizzard history in their country.,5,N/Neu,2,.,offender,.,blizzard,Was the film a documentary about recent history in their country?,,,,,,,,,,,,,,
126,126,The woman learned about petrol use in their city.,The woman learned about mosque use in their city.,5,UnNeu/Neu,2,.,.,petrol,mosque,Was the woman unaware of the substance use in their city?,,,,,,,,,,,,,,
127,127,She was aware of the nearby precipice but she didn't mention it to anyone.,She was aware of the nearby precipice but she didn't mention it to anyone.,7,Neu/Neu,2,.,.,.,precipice,Did she talk about the nearby event that she was aware of?,,,,,,,,,,,,,,
128,128,Their advertisement offered information on ways to change dignity for a lay audience.,Their advertisement offered information on ways to change texture for a lay audience.,9,P/Neu,2,dignity,.,.,texture,Was the advertisement aimed at experts rather than a lay audience?,,,,,,,,,,,,,,
129,129,Lauren showed us her impressive cemetery picture collection in her office.,Lauren showed us her impressive wormwood picture collection in her office.,6,N/Neu,2,.,cemetery,.,wormwood,Did Lauren have a modest collection of pictures in her office?,,,,,,,,,,,,,,
130,130,The trunk held another nylon that the woman would need to care for.,The trunk held another fryer that the woman would need to care for.,5,UnNeu/Neu,2,.,.,nylon,fryer,Was the trunk empty and not requiring the woman's care?,,,,,,,,,,,,,,
131,131,The documentary maker was learning about urchin construction for the film.,The documentary maker was learning about urchin construction for the film.,7,Neu/Neu,2,.,.,.,urchin,Was the documentary maker unfamiliar with construction techniques for the film?,,,,,,,,,,,,,,
132,132,The woman asked whether their doggy experience was ever an issue.,The woman asked whether their hooky experience was ever an issue.,6,P/Neu,2,doggy,.,.,hooky,Was their extensive experience never a problem?,,,,,,,,,,,,,,
133,133,The scientist drew conclusions about the unusual bacteria and shared them with others.,The scientist drew conclusions about the unusual specimen and shared them with others.,8,N/Neu,2,.,bacteria,.,specimen,Did the scientist keep his conclusions about the unusual finding to himself?,,,,,,,,,,,,,,
134,134,The film was centered around a certain breeder and was shot in the 1900s.,The film was centered around a certain pursuit and was shot in the 1900s.,8,UnNeu/Neu,2,.,.,breeder,pursuit,"Was the film shot recently, not in the 1900s?",,,,,,,,,,,,,,
135,135,People have differing opinions about piston function these days.,People have differing opinions about piston function these days.,6,Neu/Neu,2,.,.,.,piston,Do people unanimously agree on the function of the subject in question?,,,,,,,,,,,,,,
136,136,My boss keeps telling me we don't need another barkeep to be successful.,My boss keeps telling me we don't need another brigade to be successful.,1,P/Neu,2,barkeep,.,.,brigade,Is another new hire exactly what the company needs to succeed?,,,,,,,,,,,,,,
137,137,We read about blues standards from that time period.,We read about quilt standards from that time period.,4,N/Neu,2,.,blues,.,quilt,Were the standards from that time period irrelevant to our reading?,,,,,,,,,,,,,,
138,138,There is such variety in a certain saber type that I am excited about.,There is such variety in a certain latch type that I am excited about.,8,UnNeu/Neu,2,.,.,saber,latch,Is there little variety in the specific type that excites me?,,,,,,,,,,,,,,
139,139,That was the second adversity I've ran into this week.,That was the second adversity I've ran into this week.,5,Neu/Neu,2,.,.,.,adversity,Is this the first time I've encountered this phenomenon this week?,,,,,,,,,,,,,,
140,140,They read the comedy about the famous savior in high school,They read the comedy about the famous squire in high school,8,P/Neu,2,savior,.,.,squire,Was the comedy unrelated to the famous person studied in high school?,,,,,,,,,,,,,,
141,141,"The website depicted arsenic images, as well as relevant links.","The website depicted battery images, as well as relevant links.",4,N/Neu,2,.,arsenic,.,battery,Did the website show informative images along with relevant links?,,,,,,,,,,,,,,
142,142,The inspector said the certain alley chosen was oddly dark.,The inspector said the certain briar chosen was oddly dark.,6,UnNeu/Neu,2,.,.,alley,briar,Did the inspector comment that the shade selected was surprisingly light?,,,,,,,,,,,,,,
143,143,The song he wrote was about temptress troubles and was a big hit.,The song he wrote was about temptress troubles and was a big hit.,7,Neu/Neu,2,.,.,.,temptress,Was the song he wrote about joyous troubles and well-received?,,,,,,,,,,,,,,
144,144,The book gave a detailed history about frisbee use in the United States.,The book gave a detailed history about anagram use in the United States.,8,P/Neu,2,frisbee,.,.,anagram,Does the book provide a comprehensive history of prohibited substance use in the United States?,,,,,,,,,,,,,,
145,145,They discussed busybody related dynamics in the meeting.,They discussed gasoline related dynamics in the meeting.,3,N/Neu,2,.,busybody,.,gasoline,Were the meeting discussions focused on unrelated dynamics?,,,,,,,,,,,,,,
146,146,The lady would like to learn more about a certain outreach for the study.,The lady would like to learn more about a certain airstrip for the study.,11,UnNeu/Neu,2,.,.,outreach,airstrip,Is the lady interested in learning about an unknown subject for her study?,,,,,,,,,,,,,,
147,147,"Last week, there was a report about fissure breakdown discovered nearby.","Last week, there was a report about fissure breakdown discovered nearby.",8,Neu/Neu,2,.,.,.,fissure,Was there a report last week about a significant breakdown in the area?,,,,,,,,,,,,,,
148,148,"At the office, former adoption records were kept in a hidden case.","At the office, former ulterior records were kept in a hidden case.",5,P/Neu,2,adoption,.,.,ulterior,Were the former confidential records stored openly at the office?,,,,,,,,,,,,,,
149,149,"I was always told every vandalism will reoccur, and today I believed it.","I was always told every charlatan will reoccur, and today I believed it.",6,N/Neu,2,.,vandalism,.,charlatan,Has the event I was warned about never happened until today?,,,,,,,,,,,,,,
150,150,Lauren told me that she dreamt about a certain trinket that was life changing.,Lauren told me that she dreamt about a certain thicket that was life changing.,1,UnNeu/Neu,2,.,.,trinket,thicket,Did Lauren dream about something mundane that changed her life?,,,,,,,,,,,,,,
151,151,The woman gave a talk to the group about collagen in training last week.,The woman gave a talk to the group about collagen in training last week.,1,Neu/Neu,2,.,.,.,collagen,Was the woman's talk about the importance of humor in training?,,,,,,,,,,,,,,
152,152,The box had a faded sign that was labeled tomatoes sitting on the shelf.,The box had a faded sign that was labeled scullery sitting on the shelf.,1,P/Neu,2,tomatoes,.,.,scullery,Was there a clearly labeled box left unnoticed on the shelf?,,,,,,,,,,,,,,
153,153,"Jacob noticed an uncontrolled prisoner within his neighborhood, where the population was changing.","Jacob noticed an uncontrolled showdown within his neighborhood, where the population was changing.",5,N/Neu,2,.,prisoner,.,showdown,Did Jacob witness a well-controlled situation in his changing neighborhood?,,,,,,,,,,,,,,
154,154,The large dog exhibited a serious fervor which was visible from across the park.,The large dog exhibited a serious muzzle which was visible from across the park.,7,UnNeu/Neu,2,.,.,fervor,muzzle,Did the large dog show a mild temperament that was noticeable in the park?,,,,,,,,,,,,,,
155,155,The podcast was about a scientist who had discovered another effect last year.,The podcast was about a scientist who had discovered another effect last year.,11,Neu/Neu,2,.,.,.,effect,Was the podcast discussing a scientist's discovery made several years ago?,,,,,,,,,,,,,,
156,156,Emmylou said she had been given a similar coupon in the past.,Emmylou said she had been given a similar record in the past.,9,P/Neu,2,coupon,.,.,record,Has Emmylou received a similar gift in the past?,,,,,,,,,,,,,,
157,157,She said they needed laxative in order to finish the job.,She said they needed landfall in order to finish the job.,5,N/Neu,2,.,laxative,.,landfall,Did they say additional resources were unnecessary to complete the job?,,,,,,,,,,,,,,
158,158,The handlers skillfully managed their gorilla all night long.,The handlers skillfully managed their solvent all night long.,6,UnNeu/Neu,2,.,.,gorilla,solvent,Did the handlers struggle to manage their tasks throughout the night?,,,,,,,,,,,,,,
159,159,He listened to a podcast about the former motorcade of the foreign country.,He listened to a podcast about the former motorcade of the foreign country.,9,Neu/Neu,2,.,.,.,motorcade,Was the podcast about the current leader of a foreign country?,,,,,,,,,,,,,,
160,160,The website provided investigative reporting about depth measurement for a lay audience.,The website provided investigative reporting about tulip measurement for a lay audience.,7,P/Neu,2,depth,.,.,tulip,Did the website offer entertainment news instead of investigative reporting for a specialized audience?,,,,,,,,,,,,,,
1,1,There were myths about skittish animals near the island.,There were myths about offshore animals near the island.,5,UnNeu/Neu,3,.,.,skittish,offshore,Were there myths about animals near the island?,,,,,,,,,,,,,,
2,2,We found the guests requests to be rather plain each evening.,We found the guests requests to be rather plain each evening.,9,Neu/Neu,3,.,.,.,plain,Did the guests find the evening requests peculiar?,,,,,,,,,,,,,,
3,3,The discussion centered around slender ideas and lasted for hours.,The discussion centered around secular ideas and lasted for hours.,5,P/Neu,3,slender,.,.,secular,Was the discussion about innovative ideas?,,,,,,,,,,,,,,
4,4,The guests did not expect the culture to appear unwelcome and were surprised.,The guests did not expect the culture to appear tolerable and were surprised.,1,N/Neu,3,.,unwelcome,.,tolerable,Did the culture on the island appear different than expected?,,,,,,,,,,,,,,
5,5,The psychologist agreed that sometimes habitual dreams would occur with her patients.,The psychologist agreed that sometimes colossal dreams would occur with her patients.,6,UnNeu/Neu,3,.,.,habitual,colossal,Can recurrent dreams sometimes be a topic of agreement among psychologists?,,,,,,,,,,,,,,
6,6,She believed that the demand for the product had become latent since last month.,She believed that the demand for the product had become latent since last month.,11,Neu/Neu,3,.,.,.,latent,Has the demand for the product become insatiable since last month?,,,,,,,,,,,,,,
7,7,The college course featured readings about merciful topics that were required.,The college course featured readings about forensic topics that were required.,7,P/Neu,3,merciful,.,.,forensic,Does the college course require readings on eclectic topics?,,,,,,,,,,,,,,
8,8,The artist created faceless structures and was very successful.,The artist created apparent structures and was very successful.,4,N/Neu,3,.,faceless,.,apparent,Were the structures created by the artist abstract in nature?,,,,,,,,,,,,,,
9,9,Mary's attitude was clearly moderate last Wednesday after work.,Mary's attitude was clearly infernal last Wednesday after work.,5,UnNeu/Neu,3,.,.,moderate,infernal,Was Mary's attitude defiant after work last Wednesday?,,,,,,,,,,,,,,
1,10,The woman's attitude seemed slinky so the kids kept their distance.,The woman's attitude seemed slinky so the kids kept their distance.,5,Neu/Neu,3,.,.,.,slinky,Did the children keep their distance because the woman seemed unapproachable?,,,,,,,,,,,,,,
11,11,Dean said that the painting was really surreal at the show.,Dean said that the painting was really fragile at the show.,8,P/Neu,3,surreal,.,.,fragile,Was Dean's opinion of the painting at the show positive?,,,,,,,,,,,,,,
12,12,The decision reached by the judge came off as fairly deficient to the jury.,The decision reached by the judge came off as fairly momentary to the jury.,11,N/Neu,3,.,deficient,.,momentary,Did the jury consider the judge's decision impartial?,,,,,,,,,,,,,,
13,13,The art form's unique style was quite cubic and drew attention.,The art form's unique style was quite focal and drew attention.,8,UnNeu/Neu,3,.,.,cubic,focal,Was the art form's style deemed avant-garde?,,,,,,,,,,,,,,
14,14,"At the cafe, the waiter's remedial abilities stood out to his employer.","At the cafe, the waiter's remedial abilities stood out to his employer.",6,Neu/Neu,3,.,.,.,remedial,"In the cafe, were the waiter's customer service abilities exceptional?",,,,,,,,,,,,,,
15,15,In the cartoon there were several edible looking animations that danced around the screen.,In the cartoon there were several sleepy looking animations that danced around the screen.,7,P/Neu,3,edible,.,.,sleepy,Did the cartoon feature whimsical animations?,,,,,,,,,,,,,,
16,16,The dog trainer talked with a slightly abrupt tone to the customers.,The dog trainer talked with a slightly wobbly tone to the customers.,8,N/Neu,3,.,abrupt,.,wobbly,Did the dog trainer speak to the customers in a condescending tone?,,,,,,,,,,,,,,
17,17,The woman told us that the photo exhibit was about remiss themes and topics.,The woman told us that the photo exhibit was about blurry themes and topics.,11,UnNeu/Neu,3,.,.,remiss,blurry,Was the photo exhibit about diverse themes?,,,,,,,,,,,,,,
18,18,Every story in the book described spooky scenes of a mountain town.,Every story in the book described spooky scenes of a mountain town.,7,Neu/Neu,3,.,.,.,spooky,Were the book's stories about picturesque mountain scenes?,,,,,,,,,,,,,,
19,19,The man came across at first as extremely lawful but nevertheless he was friendly.,The man came across at first as extremely chubby but nevertheless he was friendly.,9,P/Neu,3,lawful,.,.,chubby,"Initially, did the man come across as intimidating?",,,,,,,,,,,,,,
2,20,Amanda's reputation in town was that she was quite disloyal but that wasn't true.,Amanda's reputation in town was that she was quite tireless but that wasn't true.,1,N/Neu,3,.,disloyal,.,tireless,Is Amanda's reputation in town undeservedly negative?,,,,,,,,,,,,,,
21,21,The song created rigorous effects on anyone listening.,The song created adequate effects on anyone listening.,4,UnNeu/Neu,3,.,.,rigorous,adequate,Was the song listened to?,,,,,,,,,,,,,,
22,22,People seem to think that Sharon's business practices are fairly inactive but they aren't.,People seem to think that Sharon's business practices are fairly inactive but they aren't.,11,Neu/Neu,3,.,.,.,inactive,Do people comment on Sharon's business practices?,,,,,,,,,,,,,,
23,23,We overheard the babysitter describe our son as rather savvy to her friend.,We overheard the babysitter describe our son as rather naive to her friend.,1,P/Neu,3,savvy,.,.,naive,Was the babysitter a a private person?,,,,,,,,,,,,,,
24,24,The media tends to depict the colleges campus culture as pretty obscene this year.,The media tends to depict the colleges campus culture as pretty ongoing this year.,12,N/Neu,3,.,obscene,.,ongoing,Are college campuses discussed in the news?,,,,,,,,,,,,,,
25,25,The bus driver came off as pretty huffy to most passengers.,The bus driver came off as pretty gruff to most passengers.,8,UnNeu/Neu,3,.,.,huffy,gruff,Do the passengers sing together?,,,,,,,,,,,,,,
26,26,We talked about how the neighbor's dog was really freaky for hours.,We talked about how the neighbor's dog was really freaky for hours.,1,Neu/Neu,3,.,.,.,freaky,Was the neighbor's dog talked about?,,,,,,,,,,,,,,
27,27,The book was all about bountiful structures and had lots of useful illustrations.,The book was all about synthetic structures and had lots of useful illustrations.,6,P/Neu,3,bountiful,.,.,synthetic,Was the book useful?,,,,,,,,,,,,,,
28,28,The expert told us that those instructions were all pretty incorrect and removed them.,The expert told us that those instructions were all pretty condensed and removed them.,11,N/Neu,3,.,incorrect,.,condensed,Did the expert give us new instructions?,,,,,,,,,,,,,,
29,29,Our volunteers are used to working around hairless animals that were born in captivity.,Our volunteers are used to working around indecent animals that were born in captivity.,8,UnNeu/Neu,3,.,.,hairless,indecent,Were the volunteers helpful?,,,,,,,,,,,,,,
3,30,The uncles opinions are quite notorious when it comes to properly cooking chicken.,The uncles opinions are quite notorious when it comes to properly cooking chicken.,6,Neu/Neu,3,.,.,.,notorious,Were my uncles quiet?,,,,,,,,,,,,,,
31,31,"In her opinion, their new hire was slightly lyric and needed more training.","In her opinion, their new hire was slightly inept and needed more training.",9,P/Neu,3,lyric,.,.,inept,Was the new hire discussed?,,,,,,,,,,,,,,
32,32,The lawyer testified that her client was given unfeeling treatment by the jury.,The lawyer testified that her client was given statutory treatment by the jury.,9,N/Neu,3,.,unfeeling,.,statutory,Did the lawyer run away?,,,,,,,,,,,,,,
33,33,On the playground the teacher believed the boy acted without secondary intentions often.,On the playground the teacher believed the boy acted without primitive intentions often.,11,UnNeu/Neu,3,.,.,secondary,primitive,Was the teacher involved during recess?,,,,,,,,,,,,,,
34,34,The flavor of the coffee beans became palpable after they were fully roasted.,The flavor of the coffee beans became palpable after they were fully roasted.,8,Neu/Neu,3,.,.,.,palpable,Was the coffee any good?,,,,,,,,,,,,,,
35,35,The message of the book described intuitive things that were relatable.,The message of the book described pragmatic things that were relatable.,7,P/Neu,3,intuitive,.,.,pragmatic,Was the book useful?,,,,,,,,,,,,,,
36,36,The gas station in town was always unclean and was often avoided by children.,The gas station in town was always sketchy and was often avoided by children.,8,N/Neu,3,.,unclean,.,sketchy,Was the gas station open?,,,,,,,,,,,,,,
37,37,The physician was concerned about the patient's occipital treatment the next day.,The physician was concerned about the patient's unbridled treatment the next day.,8,UnNeu/Neu,3,.,.,occipital,unbridled,Was the physician concerned?,,,,,,,,,,,,,,
38,38,He said that her claims about his health were generally unfounded but he engaged.,He said that her claims about his health were generally unfounded but he engaged.,11,Neu/Neu,3,.,.,.,unfounded,Were her claims ignored?,,,,,,,,,,,,,,
39,39,Our great aunt's talkative opinions were something I remember with great detail.,Our great aunt's countless opinions were something I remember with great detail.,4,P/Neu,3,talkative,.,.,countless,Does my aunt remember anything?,,,,,,,,,,,,,,
40,40,The customers arriving for the early-bird special were largely senile every Tuesday morning.,The customers arriving for the early-bird special were largely ardent every Tuesday morning.,1,N/Neu,3,.,senile,.,ardent,Were the customers there late?,,,,,,,,,,,,,,
41,41,My next-door neighbor could be described as fairly solitary in terms of his education.,My next-door neighbor could be described as fairly cerebral in terms of his education.,9,UnNeu/Neu,3,.,.,solitary,cerebral,Was my next-door neighbor discussed?,,,,,,,,,,,,,,
42,42,The families opinions of drugs seemed to be quite genetic after the movie.,The families opinions of drugs seemed to be quite genetic after the movie.,1,Neu/Neu,3,.,.,.,genetic,Did people change their perspective before the film?,,,,,,,,,,,,,,
43,43,The professor told our class that generally speaking unlimited students attended the meeting.,The professor told our class that generally speaking intensive students attended the meeting.,9,P/Neu,3,unlimited,.,.,intensive,Did the professor speak to our class?,,,,,,,,,,,,,,
44,44,The meeting notes described ignorant remarks and opinions from the previous hearing.,The meeting notes described previous remarks and opinions from the previous hearing.,5,N/Neu,3,.,ignorant,.,previous,Were the meeting notes inaccurate?,,,,,,,,,,,,,,
45,45,Her massage practice was regarded as somewhat unlisted by her clientele.,Her massage practice was regarded as somewhat sluggish by her clientele.,8,UnNeu/Neu,3,.,.,unlisted,sluggish,Did her clientele think about her practice?,,,,,,,,,,,,,,
46,46,The people who set up the soccer game were quite variable while completing tasks.,The people who set up the soccer game were quite variable while completing tasks.,11,Neu/Neu,3,.,.,.,variable,Did people leave the soccer game?,,,,,,,,,,,,,,
47,47,The patient described their painless treatment at the hospital.,The patient described their infrared treatment at the hospital.,5,P/Neu,3,painless,.,.,infrared,Was the patient in the hospital?,,,,,,,,,,,,,,
48,48,My friend started making autistic purchases and spent lots of money.,My friend started making clinical purchases and spent lots of money.,5,N/Neu,3,.,autistic,.,clinical,Did my friend save her money?,,,,,,,,,,,,,,
49,49,The mayor promised to make laws about managing unguarded policies to implement change.,The mayor promised to make laws about managing political policies to implement change.,9,UnNeu/Neu,3,.,.,unguarded,political,Did the mayor make campaign promises?,,,,,,,,,,,,,,
50,50,The speech that was given appeared unheard to the group of listeners.,The speech that was given appeared unheard to the group of listeners.,7,Neu/Neu,3,.,.,.,unheard,Did the audience leave?,,,,,,,,,,,,,,
51,51,The general made an announcement that the military should decode messages from foreign powers.,The general made an announcement that the military should disarm messages from foreign powers.,1,P/Neu,3,decode,.,.,disarm,Did the general make an announcement?,,,,,,,,,,,,,,
52,52,The main character in the story had to totally grovel at the end.,The main character in the story had to totally oppose at the end.,1,N/Neu,3,.,grovel,.,oppose,Did the main character have to totally reinvent themselves at the end?,,,,,,,,,,,,,,
53,53,Landscapers will often debrief certain areas over others.,Landscapers will often uncover certain areas over others.,4,UnNeu/Neu,3,.,.,debrief,uncover,Do landscapers often prioritize certain areas over others?,,,,,,,,,,,,,,
54,54,The psychologist says her patients sometimes compile their early memories in their sessions.,The psychologist says her patients sometimes compile their early memories in their sessions.,7,Neu/Neu,3,.,.,.,compile,Does the psychologist say her patients sometimes repress their early memories?,,,,,,,,,,,,,,
55,55,"Usually, obstacles should never astound a person using a blowtorch.","Usually, obstacles should never suspend a person using a blowtorch.",5,P/Neu,3,astound,.,.,suspend,Should obstacles never deter a person using a blowtorch?,,,,,,,,,,,,,,
56,56,The people at the wedding somehow always misread the get-together.,The people at the wedding somehow always adjourn the get-together.,8,N/Neu,3,.,misread,.,adjourn,Do people at the wedding always celebrate the get-together?,,,,,,,,,,,,,,
57,57,As an antique dealer he had to often scuttle certain high-end clientele.,As an antique dealer he had to often absolve certain high-end clientele.,9,UnNeu/Neu,3,.,.,scuttle,absolve,Does an antique dealer often need to appraise certain high-end clientele?,,,,,,,,,,,,,,
58,58,"In Ohio the people overpower the power of officers, often wanting something.","In Ohio the people overpower the power of officers, often wanting something.",5,Neu/Neu,3,.,.,.,overpower,"In Ohio, do people respect the authority of officers?",,,,,,,,,,,,,,
59,59,The boy said grouping up could appease how he feels.,The boy said grouping up could dictate how he feels.,7,P/Neu,3,appease,.,.,dictate,Could grouping up change how the boy feels?,,,,,,,,,,,,,,
60,60,The man's ideas tended to generally paralyze the discussion each week.,The man's ideas tended to generally overlook the discussion each week.,7,N/Neu,3,.,paralyze,.,overlook,Do the man's ideas usually enhance the discussion each week?,,,,,,,,,,,,,,
61,61,She asked her patient why he felt the need to always expose in relationships.,She asked her patient why he felt the need to always comply in relationships.,12,UnNeu/Neu,3,.,.,expose,comply,Does the patient feel the need to always dominate in relationships?,,,,,,,,,,,,,,
62,62,The leaders with opposing ideas decided they shouldn't combine their ideas yet.,The leaders with opposing ideas decided they shouldn't combine their ideas yet.,9,Neu/Neu,3,.,.,.,combine,Have the leaders with opposing ideas agreed to merge their ideas?,,,,,,,,,,,,,,
63,63,Our volunteers will often initially protect the animals they rescue from the wild.,Our volunteers will often initially migrate the animals they rescue from the wild.,6,P/Neu,3,protect,.,.,migrate,Do volunteers often rehabilitate the animals they rescue from the wild?,,,,,,,,,,,,,,
64,64,"At the fair, the family should disable themselves only temporarily to be safe.","At the fair, the family should abstain themselves only temporarily to be safe.",7,N/Neu,3,.,disable,.,abstain,"At the fair, should the family limit their time spent to be safe?",,,,,,,,,,,,,,
65,65,"We will probably either conform our feelings, or we will not.","We will probably either divulge our feelings, or we will not.",5,UnNeu/Neu,3,.,.,conform,divulge,Will we express our feelings openly?,,,,,,,,,,,,,,
66,66,The officer wouldn't often recoil upon certain affairs that he didn't like.,The officer wouldn't often recoil upon certain affairs that he didn't like.,5,Neu/Neu,3,.,.,.,recoil,Does the officer often intervene in affairs he dislikes?,,,,,,,,,,,,,,
67,67,The teenagers decided they might adopt the information that they received.,The teenagers decided they might churn the information that they received.,6,P/Neu,3,adopt,.,.,churn,Might the teenagers ignore the information they received?,,,,,,,,,,,,,,
68,68,I tried very hard to simply solicit the people to attain their loyalty.,I tried very hard to simply beseech the people to attain their loyalty.,7,N/Neu,3,.,solicit,.,beseech,Did I manage to gain the loyalty of the people?,,,,,,,,,,,,,,
69,69,Matthew said in college he couldn't bequeath his previous decision.,Matthew said in college he couldn't withdraw his previous decision.,7,UnNeu/Neu,3,.,.,bequeath,withdraw,Was Matthew able to justify his previous decision in college?,,,,,,,,,,,,,,
70,70,The goal of the signed agreement was to truly stipulate the old rules.,The goal of the signed agreement was to truly stipulate the old rules.,1,Neu/Neu,3,.,.,.,stipulate,Was the goal of the signed agreement to uphold the old rules?,,,,,,,,,,,,,,
71,71,Our friend knew she couldn't recommend in public so she waited.,Our friend knew she couldn't calibrate in public so she waited.,6,P/Neu,3,recommend,.,.,calibrate,"Did they know our friend she should not sing in public, so she waited?",,,,,,,,,,,,,,
72,72,The academic said it was a good idea to sometimes undermine work from class.,The academic said it was a good idea to sometimes disengage work from class.,11,N/Neu,3,.,undermine,.,disengage,Is it sometimes beneficial to ignore work from class according to the academic?,,,,,,,,,,,,,,
73,73,Because she was nervous she couldn't cling from them with much certainty.,Because she was nervous she couldn't evade from them with much certainty.,7,UnNeu/Neu,3,.,.,cling,evade,"Because she was nervous, could she communicate with them with certainty?",,,,,,,,,,,,,,
74,74,Despite their best attempts they didn't magnify the evidence in the presentation.,Despite their best attempts they didn't magnify the evidence in the presentation.,7,Neu/Neu,3,.,.,.,magnify,"Despite their best attempts, did they highlight the evidence in the presentation?",,,,,,,,,,,,,,
75,75,Jeanine truly loved gossip and would often flourish through drama.,Jeanine truly loved gossip and would often isolate through drama.,8,P/Neu,3,flourish,.,.,isolate,Does Jeanine often instigate drama?,,,,,,,,,,,,,,
76,76,My dog will usually annoy anything small and soft in its presence.,My dog will usually wield anything small and soft in its presence.,5,N/Neu,3,.,annoy,.,wield,Will my dog usually ignore anything small and soft?,,,,,,,,,,,,,,
77,77,"When arguments come up, we always organize our feelings which helps us move forward.","When arguments come up, we always converge our feelings which helps us move forward.",7,UnNeu/Neu,3,.,.,organize,converge,"Do we conceal our feelings during arguments, helping us move forward?",,,,,,,,,,,,,,
78,78,The campaign manager told the senator he couldn't publicly govern the policy.,The campaign manager told the senator he couldn't publicly govern the policy.,1,Neu/Neu,3,.,.,.,govern,Could the campaign manager publicly endorse the policy?,,,,,,,,,,,,,,
79,79,"After falling down, the dancer will either dazzle her dance or not.","After falling down, the dancer will either assume her dance or not.",8,P/Neu,3,dazzle,.,.,assume,"After falling, might the dancer continue her dance?",,,,,,,,,,,,,,
